Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Johnathan Aitken,D,aitkejo01,0,6,23.0,22.0,0.0,0.5,0.5,-6.0,35.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,19.5,0.0
Tommy Albelin,D,albelto01,0,8,37.0,48.4,1.6,7.4,9.0,3.2,9.6,2.4799999999999995,0.8,0.4,0.4,0.4,4.6,2.6,0.2,39.2,4.4399999999999995
Jamie Allison,D,allisja01,0,11,26.0,48.4,0.4,2.4,2.8,-5.4,76.4,0.5,0.4,0.0,0.0,0.0,2.4,0.0,0.0,19.6,2.1
Bryan Allen,D,allenbr01,0,11,21.5,34.75,1.75,2.0,3.75,-0.25,43.25,0.925,1.75,0.0,0.0,0.25,1.75,0.25,0.0,29.75,3.625
Adrian Aucoin,D,aucoiad01,1,26,28.0,73.0,9.4,23.6,33.0,11.8,52.2,7.0,5.0,4.4,0.0,1.0,11.0,12.0,0.6,181.0,5.26
Christian Backman,D,backmch01,0,27,22.5,35.0,2.5,6.5,9.0,0.0,8.0,2.25,2.0,0.5,0.0,0.0,4.5,2.0,0.0,48.0,2.7
Murray Baron,D,baronmu01,0,33,34.0,76.4,1.8,6.6,8.4,2.0,64.2,2.58,1.8,0.0,0.0,0.2,5.6,0.2,0.8,46.6,3.9800000000000004
Wade Belak,D,belakwa01,0,43,25.0,46.2,1.2,2.6,3.8,-2.0,135.8,0.76,1.2,0.0,0.0,0.0,2.6,0.0,0.0,24.4,4.84
Bryan Berard,D,berarbr01,1,47,24.25,71.0,7.0,27.5,34.5,-4.5,54.75,4.949999999999999,4.25,2.75,0.0,0.25,15.75,11.5,0.25,159.5,3.975
Drake Berehowsky,D,berehdr01,0,48,30.0,55.8,5.6,13.0,18.6,-4.8,72.4,3.44,3.2,2.4,0.0,0.6,6.4,6.6,0.0,65.0,8.940000000000001
Ladislav Benysek,D,benysla01,0,50,26.0,53.0,1.0,4.0,5.0,-8.666666666666666,24.666666666666668,1.3666666666666665,0.6666666666666666,0.3333333333333333,0.0,0.0,3.0,1.0,0.0,33.0,2.1666666666666665
Aki Berg,D,bergak01,0,51,24.0,73.4,2.6,8.2,10.8,2.4,40.8,2.52,2.0,0.6,0.0,0.6,7.4,0.6,0.2,59.4,4.779999999999999
Marc Bergevin,D,bergema01,0,52,36.0,56.0,1.0,6.0,7.0,4.4,33.6,2.2800000000000002,1.0,0.0,0.0,0.0,5.6,0.0,0.4,27.2,4.180000000000001
Radim Bicanek,D,bicanra01,0,56,26.0,26.666666666666668,0.3333333333333333,3.3333333333333335,3.6666666666666665,-2.3333333333333335,14.666666666666666,0.8333333333333334,0.3333333333333333,0.0,0.0,0.0,3.0,0.3333333333333333,0.0,20.666666666666668,0.7666666666666666
Marc-Andre Bergeron,D,bergema02,0,56,22.5,29.5,5.0,9.0,14.0,7.5,17.5,3.0999999999999996,3.5,1.5,0.0,0.0,5.0,4.0,0.0,55.0,14.3
Mathieu Biron,D,bironma02,0,57,21.0,40.2,1.6,4.6,6.2,-11.6,25.4,0.76,1.0,0.4,0.2,0.6,3.6,1.0,0.0,48.4,2.32
Rick Berry,D,berryri01,0,57,23.5,49.25,0.5,3.25,3.75,-1.5,78.5,0.975,0.5,0.0,0.0,0.25,3.25,0.0,0.0,35.5,1.25
Rob Blake*,D,blakero01,1,60,32.0,74.4,16.6,36.0,52.6,11.0,73.0,9.9,6.6,9.6,0.4,3.0,18.8,16.2,1.0,266.8,6.26
Patrick Boileau,D,boilepa01,0,62,27.0,14.333333333333334,1.6666666666666667,3.3333333333333335,5.0,-3.0,8.0,0.6,0.6666666666666666,1.0,0.0,0.3333333333333333,2.6666666666666665,0.6666666666666666,0.0,19.666666666666668,9.2
Brad Bombardir,D,bombabr01,0,64,29.0,51.4,1.2,6.8,8.0,-2.4,20.6,2.3,0.8,0.4,0.0,0.2,5.4,1.0,0.4,46.2,4.12
Joel Bouchard,D,bouchjo01,0,71,28.0,29.8,1.6,4.4,6.0,-3.0,14.2,1.1400000000000001,1.4,0.2,0.0,0.4,3.4,1.0,0.0,33.6,4.725
Philippe Boucher,D,bouchph01,1,72,28.0,50.6,4.8,12.6,17.4,9.4,54.4,4.58,2.8,1.8,0.2,1.4,9.4,3.0,0.2,102.4,3.9200000000000004
Bob Boughner,D,boughbo01,0,73,30.0,66.6,1.8,6.0,7.8,2.2,139.4,2.36,1.6,0.2,0.0,0.4,5.2,0.4,0.4,48.0,3.5799999999999996
Francis Bouillon,D,bouilfr01,0,74,26.0,45.6,1.6,8.2,9.8,-2.0,34.2,2.1,1.0,0.4,0.2,0.2,5.4,2.8,0.0,48.0,3.2399999999999998
Ray Bourque*,D,bourqra01,1,75,39.5,79.5,12.5,43.0,55.5,11.5,37.0,9.95,4.0,7.5,1.0,0.0,15.5,27.5,0.0,238.0,5.050000000000001
Dan Boyle,D,boyleda01,1,76,25.0,60.6,6.8,21.8,28.6,0.0,35.0,5.26,3.8,3.0,0.0,0.8,11.6,10.2,0.0,92.8,5.82
Nick Boynton,D,boyntni01,0,77,23.0,49.0,3.4,11.0,14.4,7.4,60.8,3.28,2.8,0.2,0.4,0.8,9.0,2.0,0.0,96.2,2.14
Eric Brewer,D,breweer01,1,79,22.0,68.2,5.8,14.6,20.4,-3.6,46.0,3.88,3.4,2.4,0.0,1.2,7.6,6.2,0.8,113.6,4.5
Aris Brimanis,D,brimaar01,0,82,28.75,23.0,0.5,2.25,2.75,-4.5,11.25,0.4,0.0,0.5,0.0,0.0,1.25,1.0,0.0,21.75,3.125
Patrice Brisebois,D,brisepa01,1,84,31.0,69.2,7.4,25.4,32.8,-4.0,25.0,6.0600000000000005,3.0,4.2,0.2,1.6,11.8,13.6,0.0,112.4,6.4
Jay Bouwmeester,D,bouwmja01,0,84,19.5,71.5,3.0,15.0,18.0,-22.0,22.0,2.5,2.0,1.0,0.0,0.0,6.0,8.5,0.5,97.5,3.0
