Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Justin Abdelkader,LW,abdelju01,1,1,25.0,68.8,11.6,13.6,25.2,6.0,52.0,2.6399999999999997,9.8,1.8,0.0,2.0,11.8,1.6,0.2,129.4,8.82
Luke Adam,C,adamlu01,0,2,22.0,18.0,3.0,2.2,5.2,-2.2,7.2,0.4600000000000001,3.0,0.0,0.0,0.2,1.4,0.8,0.0,27.6,19.3
Craig Adams,RW,adamscr01,0,3,35.0,72.4,3.6,8.4,12.0,-5.8,45.6,0.019999999999999983,3.0,0.0,0.6,0.4,7.2,0.0,1.2,67.2,5.26
Will Acton,C,actonwi01,0,3,26.5,16.5,1.5,1.0,2.5,-2.0,13.0,0.15000000000000002,1.5,0.0,0.0,0.5,1.0,0.0,0.0,10.0,8.35
Daniel Alfredsson*,RW,alfreda01,1,5,39.5,61.0,17.25,24.0,41.25,0.0,19.75,4.675,11.25,5.25,0.75,2.75,15.0,8.5,0.5,134.75,12.625
Artem Anisimov,C,anisiar01,1,10,24.0,65.8,14.8,18.0,32.8,0.2,18.8,3.5799999999999996,12.0,2.2,0.6,2.6,15.0,2.4,0.6,128.0,11.879999999999999
Joakim Andersson,C,anderjo03,0,10,23.5,44.0,3.5,4.75,8.25,-3.0,10.5,0.275,3.5,0.0,0.0,0.5,4.25,0.25,0.25,49.5,5.35
Nik Antropov,C,antroni01,1,11,31.0,61.666666666666664,12.333333333333334,19.0,31.333333333333332,-3.6666666666666665,33.333333333333336,2.9333333333333336,8.666666666666666,3.6666666666666665,0.0,0.6666666666666666,13.0,6.0,0.0,85.33333333333333,13.9
Colby Armstrong,RW,armstco01,0,12,29.0,38.666666666666664,3.6666666666666665,6.666666666666667,10.333333333333334,-2.6666666666666665,19.666666666666668,0.5,3.6666666666666665,0.0,0.0,0.0,6.666666666666667,0.0,0.0,38.666666666666664,8.266666666666666
Andy Andreoff,C,andrean01,0,13,23.0,18.0,2.0,1.0,3.0,1.0,18.0,0.4,2.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,14.3
Jason Arnott,C,arnotja01,1,14,36.5,72.5,17.0,15.5,32.5,3.5,33.0,4.2,12.0,5.0,0.0,2.0,9.5,6.0,0.0,155.5,11.05
Arron Asham,RW,ashamar01,0,15,33.5,35.25,3.0,4.25,7.25,-2.0,46.5,0.475,3.0,0.0,0.0,0.0,4.25,0.0,0.0,31.0,8.2
Mark Arcobello,C,arcobma01,0,15,25.0,39.666666666666664,7.0,9.333333333333334,16.333333333333332,-5.666666666666667,9.333333333333334,1.5,6.333333333333333,0.6666666666666666,0.0,1.0,7.333333333333333,1.6666666666666667,0.3333333333333333,66.33333333333333,9.45
Carter Ashton,RW,ashtoca01,0,17,21.666666666666668,18.0,0.0,1.0,1.0,-4.0,10.666666666666666,-0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.333333333333332,0.0
Keith Aucoin,C,aucoike01,0,17,33.5,17.75,2.25,3.5,5.75,0.0,1.0,0.55,2.0,0.25,0.0,0.5,3.5,0.0,0.0,18.0,8.766666666666667
Darren Archibald,RW,archida02,0,17,23.0,16.0,1.0,2.0,3.0,1.0,0.0,0.3,1.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,9.1
Cam Atkinson,RW,atkinca01,1,18,23.5,54.75,14.75,13.25,28.0,1.0,14.5,3.325,11.0,3.25,0.5,3.25,10.75,2.5,0.0,146.25,10.15
Sean Avery,C,averyse01,0,19,30.5,45.5,3.0,10.5,13.5,-1.0,97.5,1.0,3.0,0.0,0.0,1.0,10.0,0.5,0.0,76.0,11.1
David Backes,C,backeda01,1,21,28.0,73.2,22.8,29.0,51.8,14.6,95.8,6.640000000000001,15.6,6.8,0.4,3.0,21.4,7.0,0.6,178.6,12.319999999999999
Mikael Backlund,C,backlmi01,0,22,23.0,54.8,10.0,13.6,23.6,-1.4,21.8,2.2600000000000002,6.6,2.2,1.2,1.8,11.0,2.4,0.2,119.6,8.1
Nicklas Backstrom,C,backsni02,1,23,25.0,66.2,15.2,47.6,62.8,2.6,35.6,6.540000000000001,11.0,3.8,0.4,2.2,24.2,23.4,0.0,145.6,10.879999999999999
Josh Bailey,LW,bailejo01,1,25,23.0,67.0,11.6,20.0,31.6,-4.2,22.6,2.7800000000000002,9.0,2.0,0.6,1.2,15.6,3.8,0.6,104.0,11.34
Sven Baertschi,LW,baertsv01,0,27,20.5,17.25,2.5,5.0,7.5,-1.25,6.5,0.725,2.25,0.25,0.0,0.0,4.25,0.75,0.0,20.75,15.175
Krys Barch,LW,barchkr01,0,27,31.5,43.0,1.0,2.0,3.0,-4.0,84.25,-0.15,1.0,0.0,0.0,0.0,2.0,0.0,0.0,15.75,5.2
Jay Beagle,RW,beaglja01,0,32,27.0,48.8,4.4,4.6,9.0,-1.6,18.6,0.42000000000000004,4.4,0.0,0.0,1.0,4.4,0.0,0.2,55.2,7.56
