Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
1,Ramzi Abid,22,TOT,LW,33,10,8,18,-4,32,2.1,6,4,0,3,6,2,0,59,16.9,428,12:58,abidra01
1,Ramzi Abid,22,PHX,LW,30,10,8,18,1,30,2.3,6,4,0,3,6,2,0,52,19.2,375,12:30,abidra01
1,Ramzi Abid,22,PIT,LW,3,0,0,0,-5,2,-0.3,0,0,0,0,0,0,0,7,0,53,17:33,abidra01
2,Craig Adams,25,CAR,RW,81,6,12,18,-11,71,0.7,5,1,0,1,11,1,0,107,5.6,988,12:12,adamscr01
3,Kevyn Adams,28,CAR,C,77,9,9,18,-8,57,1,9,0,0,0,6,2,1,169,5.3,1128,14:39,adamske01
4,Maxim Afinogenov,23,BUF,RW,35,5,6,11,-12,21,0.5,3,2,0,2,6,0,0,77,6.5,469,13:24,afinoma01
5,Tommy Albelin,38,NJD,D,37,1,6,7,10,6,2.5,0,0,1,0,5,1,0,30,3.3,563,15:13,albelto01
6,Nikita Alexeev,21,TBL,RW,37,4,2,6,-6,8,0.1,3,1,0,1,1,1,0,52,7.7,426,11:31,alexeni01
7,Daniel Alfredsson*,30,OTT,RW,78,27,51,78,15,42,9.2,18,9,0,6,27,24,0,240,11.3,1524,19:32,alfreda01
8,Bobby Allen,24,EDM,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2:53,allenbo01
9,Bryan Allen,22,VAN,D,48,5,3,8,8,73,2.5,5,0,0,1,2,1,0,43,11.6,621,12:56,allenbr01
10,Jamie Allison,27,CBJ,D,48,0,1,1,-15,99,-0.4,0,0,0,0,1,0,0,23,0,574,11:57,allisja01
11,Jason Allison,27,LAK,C,26,6,22,28,9,22,3.1,4,2,0,3,12,10,0,46,13,562,21:36,allisja02
12,Tony Amonte,32,TOT,RW,72,20,31,51,0,28,5.2,12,7,1,5,11,20,0,207,9.7,1377,19:08,amontto01
12,Tony Amonte,32,PHX,RW,59,13,23,36,-12,26,2.7,7,6,0,3,9,14,0,170,7.6,1148,19:27,amontto01
12,Tony Amonte,32,PHI,RW,13,7,8,15,12,2,2.6,5,1,1,2,2,6,0,37,18.9,229,17:39,amontto01
13,Dave Andreychuk*,39,TBL,LW,72,20,14,34,-12,34,3.3,5,15,0,3,1,13,0,170,11.8,1184,16:27,andreda01
14,Nik Antropov,22,TOR,RW,72,16,29,45,11,124,5,13,2,1,6,18,11,0,102,15.7,1080,15:00,antroni01
15,Denis Arkhipov,23,NSH,C,79,11,24,35,-18,32,2.6,8,3,0,1,13,11,0,148,7.4,1196,15:09,arkhide01
16,Derek Armstrong,29,LAK,C,66,12,26,38,5,30,3.9,10,2,0,1,18,8,0,106,11.3,1034,15:40,armstde01
17,Tyler Arnason,23,CHI,C,82,19,20,39,7,20,4.4,16,3,0,6,15,5,0,178,10.7,1190,14:30,arnasty01
18,Jason Arnott,28,DAL,C,72,23,24,47,9,51,5.9,16,7,0,6,18,6,0,169,13.6,1166,16:12,arnotja01
19,Magnus Arvedson,31,OTT,LW,80,16,21,37,13,48,3.7,14,2,0,4,16,5,0,138,11.6,1433,17:54,arvedma01
20,Arron Asham,24,NYI,RW,78,15,19,34,1,57,3.6,11,4,0,1,17,1,1,114,13.2,953,12:13,ashamar01
21,Serge Aubin,27,COL,C,66,4,6,10,-2,64,-0.1,4,0,0,1,5,0,1,62,6.5,789,11:58,aubinse01
22,Adrian Aucoin,29,NYI,D,73,8,27,35,-5,70,6,3,5,0,1,11,15,1,175,4.6,2118,29:01:00,aucoiad01
23,Donald Audette,33,MTL,RW,54,11,12,23,-7,19,1.9,7,4,0,4,4,8,0,118,9.3,837,15:30,audetdo01
24,Jared Aulin,20,LAK,C,17,2,2,4,-3,0,0.3,1,1,0,0,0,2,0,21,9.5,169,9:55,aulinja01
25,Sean Avery,22,TOT,C,51,6,9,15,7,153,1.7,6,0,0,2,6,3,0,59,10.2,441,8:39,averyse01
25,Sean Avery,22,DET,C,39,5,6,11,7,120,1.5,5,0,0,2,5,1,0,40,12.5,275,7:03,averyse01
25,Sean Avery,22,LAK,C,12,1,3,4,0,33,0.3,1,0,0,0,1,2,0,19,5.3,166,13:50,averyse01
26,P.J. Axelsson,27,BOS,LW,66,17,19,36,8,24,4,13,2,2,1,15,2,2,122,13.9,1097,16:37,axelspj01
27,Christian Backman,22,STL,D,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0,49,12:22,backmch01
