,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
1,Spencer Abbott,28,CHI,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,8:34,0,0,0,0,,abbotsp01
2,Justin Abdelkader,29,DET,LW,64,7,14,21,-20,50,0.7,2,5,0,1,11,2,1,104,6.7,1066,16:40,27,144,5,12,29.4,abdelju01
3,Pontus Aberg,23,NSH,LW,15,1,1,2,-2,4,-0.1,1,0,0,0,1,0,0,12,8.3,185,12:20,2,9,1,0,100,abergpo01
4,Noel Acciari,25,BOS,C,29,2,3,5,3,16,0.5,2,0,0,0,3,0,0,24,8.3,301,10:22,5,80,11,18,37.9,acciano01
5,Kenny Agostino,24,STL,LW,7,1,2,3,0,2,0.3,1,0,0,0,1,1,0,17,5.9,89,12:47,3,9,0,0,,agostke01
6,Sebastian Aho,19,CAR,RW,82,24,25,49,-1,26,5.9,17,6,1,4,13,11,1,214,11.2,1377,16:47,14,51,17,18,48.6,ahose01
7,Karl Alzner,28,WSH,D,82,3,10,13,23,28,4.6,3,0,0,0,10,0,0,81,3.7,1623,19:47,162,105,0,0,,alzneka01
8,Josh Anderson,22,CBJ,RW,78,17,12,29,12,89,4,17,0,0,3,12,0,0,119,14.3,938,12:01,40,147,8,21,27.6,anderjo05
9,Rasmus Andersson,20,CGY,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,19,18:33,2,4,0,0,,anderra01
10,Andy Andreoff,25,LAK,LW,36,0,2,2,-2,70,-0.4,0,0,0,0,2,0,0,38,0,381,10:36,7,70,41,28,59.4,andrean01
11,Sven Andrighetto,23,TOT,RW,46,7,17,24,1,12,2.5,5,2,0,0,15,2,0,68,10.3,643,13:58,22,40,7,3,70,andrisv01
11,Sven Andrighetto,23,MTL,RW,27,2,6,8,1,4,0.6,2,0,0,0,5,1,0,31,6.5,310,11:29,12,27,0,0,,andrisv01
11,Sven Andrighetto,23,COL,RW,19,5,11,16,0,8,1.9,3,2,0,0,10,1,0,37,13.5,332,17:30,10,13,7,3,70,andrisv01
