,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,Id
1,Antti Aalto,23,MDA,C,73,3,5,8,-12,24,-0.3,1,2,0,0,4,1,0,61,4.9,685,9:23,aaltoan01
2,Greg Adams,35,PHX,LW,75,19,24,43,-1,26,4.2,14,5,0,3,17,6,1,176,10.8,1303,17:22,adamsgr02
3,Kevyn Adams,24,TOR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,7:56,adamske01
4,Tommy Albelin,34,CGY,D,60,1,5,6,-11,8,0.6,1,0,0,0,4,0,1,54,1.9,1148,19:08,albelto01
5,Daniel Alfredsson*,26,OTT,RW,58,11,22,33,8,14,3.2,8,3,0,5,14,8,0,163,6.7,1007,17:22,alfreda01
6,Chris Allen,20,FLA,D,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,,13,12:35,allench01
7,Jamie Allison,23,CHI,D,39,2,2,4,0,62,1,2,0,0,0,2,0,0,24,8.3,547,14:01,allisja01
8,Jason Allison,23,BOS,C,82,23,53,76,5,68,7.9,17,5,1,3,28,25,0,158,14.6,1835,22:23,allisja02
9,Tony Amonte,28,CHI,RW,82,44,31,75,0,60,9.3,27,14,3,8,18,12,1,256,17.2,1820,22:12,amontto01
10,Mikael Andersson,32,TOT,RW,47,2,4,6,-7,4,-0.3,2,0,0,0,4,0,0,51,3.9,597,12:42,andermi01
10,Mikael Andersson,32,TBL,RW,40,2,3,5,-8,4,-0.3,2,0,0,0,3,0,0,40,5,506,12:39,andermi01
10,Mikael Andersson,32,PHI,RW,7,0,1,1,1,0,0,0,0,0,0,1,0,0,11,0,91,12:59,andermi01
11,Dave Andreychuk*,35,NJD,LW,52,15,13,28,1,20,3.1,11,4,0,3,9,4,0,110,13.6,808,15:32,andreda01
12,Greg Andrusak,29,PIT,D,7,0,1,1,4,4,0.5,0,0,0,0,1,0,0,2,0,124,17:42,andrugr01
13,Derek Armstrong,25,NYR,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2:50,armstde01
14,Jason Arnott,24,NJD,C,74,27,27,54,10,79,6.7,19,8,0,3,15,12,0,200,13.5,1140,15:24,arnotja01
