Team,Goon,Rk,GP,W,L,PTS,PTS%,GF,GA,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
Anaheim Ducks,1,4,328,176,112,392,0.59775,922,860,2.81,10.48,285,1368,20.9,275,1526,81.8025,26,28,17.35,16.475,9776,9.4,9782,0.91225,18
Atlanta Thrashers,1,18,410,188,176,422,0.5144,1202,1306,2.93,15.92,339,1923,17.474,401,1923,79.206,57,44,14.14,14.08,11790,10.16,13246,0.9012,23
Boston Bruins,1,25,410,197,156,451,0.5498,1110,1139,2.706,13.9,307,1727,17.97,321,1831,82.55,40,44,13.32,12.92,12301,9.04,12844,0.9118,28
Buffalo Sabres,0,5,410,230,136,504,0.6148,1298,1135,3.166,13.83,368,1921,19.032,286,1778,83.912,38,46,13.14,14.04,12498,10.4,12517,0.909,19
Calgary Flames,4,7,410,217,146,481,0.5866,1149,1087,2.802,13.26,323,1857,17.248,345,1965,82.37,45,36,15.74,14.98,11850,9.74,11910,0.9088,27
Carolina Hurricanes,0,3,410,215,156,469,0.572,1239,1224,3.024,14.93,367,2101,17.486,338,1816,81.252,48,51,12.4,14.24,12858,9.64,12194,0.8996,17
Chicago Blackhawks,1,28,410,195,165,440,0.5366,1160,1173,2.83,14.31,274,1803,15.38,338,1971,82.836,58,34,15.38,14.38,12460,9.32,11573,0.899,26
Colorado Avalanche,1,13,410,206,167,449,0.5474,1198,1195,2.922,14.57,323,1810,17.67,319,1723,81.248,32,43,12.48,13.2,12062,9.94,12035,0.9004,21
Columbus Blue Jackets,0,26,410,175,187,398,0.4854,1035,1202,2.524,14.67,279,1875,14.966,366,2034,82.046,38,43,15.58,14.66,11612,8.94,12151,0.9012,34
Dallas Stars,0,4,410,221,144,487,0.5938,1161,1111,2.832,13.56,346,1958,17.646,327,1850,81.938,36,33,14.38,14.84,11707,9.94,11212,0.9012,24
Detroit Red Wings,0,1,410,257,101,566,0.6902,1317,1023,3.21,12.47,400,1913,20.906,301,1820,83.25,38,33,11.12,11.78,14089,9.32,10817,0.9052,38
Edmonton Oilers,0,14,410,179,188,401,0.489,1095,1256,2.67,15.32,310,1857,16.63,334,1869,81.778,37,32,14.68,14.52,11415,9.6,12490,0.899,14
