Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
abdelju01,1,Justin Abdelkader,30.0,DET,LW,68.2,9.0,15.0,24.0,-15.0,62.2,1.24,5.6,3.2,0.2,1.0,11.8,3.0,0.2,100.8,7.42
acciano01,2,Noel Acciari,26.0,FLA,C,49.2,7.6,4.0,11.6,-1.6,20.2,0.8,7.2,0.0,0.4,1.4,4.0,0.0,0.0,63.0,9.620000000000001
agostke01,3,Kenny Agostino,24.5,TOT,LW,19.25,1.75,5.25,7.0,-1.5,10.0,0.45,1.75,0.0,0.0,0.0,3.5,1.75,0.0,27.5,3.375
abergpo01,3,Pontus Aberg,24.5,TOR,LW,33.0,4.25,6.75,11.0,-1.75,8.5,0.8,3.5,0.75,0.0,1.0,5.5,1.25,0.0,46.75,6.4750000000000005
alzneka01,5,Karl Alzner,29.0,MTL,D,51.8,1.6,7.8,9.4,6.0,19.2,2.58,1.6,0.0,0.0,0.2,7.6,0.0,0.2,50.4,2.04
anderjo05,6,Josh Anderson,23.0,CBJ,RW,52.2,13.0,9.8,22.8,5.6,42.0,2.6399999999999997,11.8,0.8,0.4,2.6,8.2,1.4,0.2,122.2,9.36
ahose01,6,Sebastian Aho,20.5,CAR,F,77.5,30.25,35.5,65.75,9.5,25.5,7.975,21.75,6.25,2.25,5.0,22.5,12.25,0.75,215.75,14.1
ahose02,6,Sebastian Aho,21.0,NYI,D,22.0,1.0,3.0,4.0,-5.0,6.0,0.3,0.0,1.0,0.0,0.0,3.0,0.0,0.0,24.0,4.2
anderjo03,7,Joakim Andersson,26.0,DET,C,29.0,1.0,2.0,3.0,1.0,6.0,0.1,1.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,5.9
andrean01,8,Andy Andreoff,25.75,PHI,LW,38.75,2.75,2.75,5.5,-2.5,49.5,0.22499999999999998,2.75,0.0,0.0,0.75,2.75,0.0,0.0,36.25,5.949999999999999
anderra01,9,Rasmus Andersson,21.5,CGY,D,40.0,1.75,8.5,10.25,2.0,21.0,1.9,1.75,0.0,0.0,0.0,7.0,1.5,0.0,61.75,1.9000000000000001
andrisv01,9,Sven Andrighetto,23.5,COL,RW,51.0,7.25,12.75,20.0,-0.75,10.5,1.8,5.75,1.5,0.0,0.75,10.5,2.25,0.0,87.0,8.6
amadimi01,9,Michael Amadio,22.0,LAK,C,49.333333333333336,5.333333333333333,7.0,12.333333333333334,-4.666666666666667,8.0,0.8000000000000002,5.0,0.3333333333333333,0.0,0.0,5.333333333333333,1.6666666666666667,0.0,54.666666666666664,12.200000000000001
anderli01,11,Lias Andersson,20.0,NYR,C,22.0,1.0,2.0,3.0,-6.666666666666667,11.0,-0.2333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,2.0,0.0,0.0,19.666666666666668,8.299999999999999
anderjo08,11,Joey Anderson,20.5,NJD,RW,26.0,4.0,2.5,6.5,-3.0,4.0,0.44999999999999996,3.5,0.0,0.5,0.5,2.5,0.0,0.0,35.0,13.6
anisiar01,11,Artem Anisimov,29.0,OTT,C,68.0,18.4,16.6,35.0,-3.4,17.2,3.5200000000000005,12.2,5.2,1.0,3.2,13.6,2.8,0.2,117.0,16.14
archijo01,12,Josh Archibald,25.0,EDM,RW,36.6,6.4,5.0,11.4,-1.2,11.2,1.1199999999999999,5.8,0.0,0.6,0.8,4.6,0.0,0.4,41.8,17.75
arcobma01,13,Mark Arcobello,27.0,TOR,C,20.0,3.0,1.0,4.0,0.0,0.0,0.4,3.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,7.0
armiajo01,14,Joel Armia,24.0,MTL,RW,58.8,11.0,11.2,22.2,-0.2,19.2,1.94,8.2,1.0,1.8,1.6,8.2,2.2,0.8,116.0,9.22
arvidvi01,15,Viktor Arvidsson,24.0,NSH,LW,65.8,23.4,19.4,42.8,7.2,30.2,5.42,18.4,3.0,2.0,4.6,15.8,3.0,0.6,190.8,11.86
athanan01,16,Andreas Athanasiou,23.0,TOT,C,60.6,16.8,14.4,31.2,-15.2,23.4,3.0200000000000005,15.0,1.6,0.2,2.4,11.0,3.4,0.0,137.6,12.76
antipvi01,16,Victor Antipin,25.0,BUF,D,47.0,0.0,10.0,10.0,-9.0,18.0,1.4,0.0,0.0,0.0,0.0,9.0,1.0,0.0,40.0,0.0
archida02,17,Darren Archibald,27.5,TOT,RW,19.5,2.5,3.0,5.5,-2.0,13.0,0.39999999999999997,2.0,0.0,0.5,0.0,3.0,0.0,0.0,19.0,12.15
atkinca01,17,Cam Atkinson,28.0,CBJ,RW,70.4,27.8,23.4,51.2,5.8,16.8,6.540000000000001,20.2,5.6,2.0,5.4,16.4,7.0,0.0,228.0,11.78
backeda01,18,David Backes,33.0,TOT,C,60.4,12.0,16.4,28.4,1.4,51.6,2.96,9.0,3.0,0.0,1.6,12.4,3.8,0.2,133.2,7.859999999999999
applema01,18,Mason Appleton,23.5,WPG,C,41.0,4.0,5.0,9.0,0.0,12.0,0.6000000000000001,3.5,0.0,0.5,0.5,5.0,0.0,0.0,42.0,9.7
auvityo01,19,Yohann Auvitu,27.5,EDM,D,29.0,2.5,4.0,6.5,2.5,5.0,1.6,2.5,0.0,0.0,0.0,3.5,0.5,0.0,61.5,4.0
