Rk,Team,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Detroit Red Wings,82,62,13,7,131,0.799,325,181,1.64,-0.11,3.96,2.21,97,455,21.32,44,375,88.27,17,9,18.7,22.7,2648,12.3,1982,0.909,9
2,Colorado Avalanche,82,47,25,10,104,0.634,326,240,0.93,-0.12,3.98,2.93,86,404,21.29,71,439,83.83,21,22,18.5,17.8,2644,12.3,2370,0.899,2
3,Philadelphia Flyers,82,45,24,13,103,0.628,282,208,0.88,-0.03,3.44,2.54,82,417,19.66,62,437,85.81,12,7,21.5,21.2,2529,11.2,2123,0.902,5
4,Pittsburgh Penguins,82,49,29,4,102,0.622,362,284,0.9,-0.05,4.41,3.46,109,420,25.95,78,467,83.3,18,12,19.6,19.3,2645,13.7,2840,0.9,5
5,New York Rangers,82,41,27,14,96,0.585,272,237,0.43,0,3.32,2.89,85,429,19.81,89,495,82.02,6,11,22.4,20.4,2671,10.2,2473,0.904,5
6,Chicago Blackhawks,82,40,28,14,94,0.573,273,220,0.61,-0.04,3.33,2.68,63,356,17.7,65,447,85.46,13,7,22.7,19.7,2240,12.2,2334,0.906,5
7,Florida Panthers,82,41,31,10,92,0.561,254,234,0.27,0.02,3.1,2.85,81,468,17.31,63,370,82.97,11,12,18,21.4,2364,10.7,2287,0.898,2
8,Boston Bruins,82,40,31,11,91,0.555,282,269,0.17,0.01,3.44,3.28,68,363,18.73,67,341,80.35,13,7,12.5,13.7,2838,9.9,2204,0.878,2
9,Montreal Canadiens,82,40,32,10,90,0.549,265,248,0.2,-0.01,3.23,3.02,77,405,19.01,68,382,82.2,15,11,22.1,21.3,2363,11.2,2656,0.907,4
10,Washington Capitals,82,39,32,11,89,0.543,234,204,0.38,0.02,2.85,2.49,63,403,15.63,67,385,82.6,12,7,18.8,20.7,2470,9.5,2041,0.9,9
11,Tampa Bay Lightning,82,38,32,12,88,0.537,238,248,-0.07,0.05,2.9,3.02,83,400,20.75,68,439,84.51,6,13,19.7,17.9,2546,9.3,2428,0.898,5
12,New Jersey Devils,82,37,33,12,86,0.524,215,202,0.2,0.04,2.62,2.46,55,368,14.95,49,319,84.64,11,9,18.1,18.3,2636,8.2,2173,0.907,6
13,St. Louis Blues,82,32,34,16,80,0.488,219,248,-0.35,0,2.67,3.02,74,448,16.52,82,482,82.99,11,8,21.9,21.6,2548,8.6,2444,0.899,3
14,Toronto Maple Leafs,82,34,36,12,80,0.488,247,252,-0.07,0,3.01,3.07,83,438,18.95,70,403,82.63,11,9,21,22,2675,9.2,2611,0.903,2
15,Calgary Flames,82,34,37,11,79,0.482,241,240,-0.04,-0.05,2.94,2.93,71,386,18.39,80,402,80.1,11,9,18.3,17.9,2466,9.8,2221,0.892,6
16,Vancouver Canucks,82,32,35,15,79,0.482,278,278,-0.05,-0.05,3.39,3.39,69,411,16.79,78,418,81.34,18,13,18.6,18.9,2472,11.2,2473,0.888,3
17,Mighty Ducks of Anaheim,82,35,39,8,78,0.476,234,247,-0.19,-0.03,2.85,3.01,60,426,14.08,81,423,80.85,10,5,20.5,21.5,2354,9.9,2639,0.906,4
18,Winnipeg Jets,82,36,40,6,78,0.476,275,291,-0.18,0.02,3.35,3.55,82,417,19.66,88,430,79.53,10,12,19.6,17.8,2410,11.4,2763,0.895,2
19,Hartford Whalers,82,34,39,9,77,0.47,237,259,-0.22,0.05,2.89,3.16,67,372,18.01,83,429,80.65,8,9,22.3,20,2493,9.5,2760,0.906,6
20,Buffalo Sabres,82,33,42,7,73,0.445,247,262,-0.16,0.03,3.01,3.2,76,477,15.93,74,461,83.95,10,12,26.6,27.3,2333,10.6,2911,0.91,2
21,Edmonton Oilers,82,30,44,8,68,0.415,240,304,-0.78,0,2.93,3.71,72,452,15.93,80,417,80.82,10,12,20.7,20.7,2458,9.8,2493,0.878,1
22,Los Angeles Kings,82,24,40,18,66,0.402,256,302,-0.59,-0.03,3.12,3.68,72,401,17.96,72,381,81.1,12,18,17.6,17.3,2573,9.9,2905,0.896,1
23,Dallas Stars,82,26,42,14,66,0.402,227,280,-0.6,0.05,2.77,3.41,67,443,15.12,82,418,80.38,8,20,20,20.8,2471,9.2,2525,0.889,2
24,New York Islanders,82,22,50,10,54,0.329,229,315,-0.94,0.11,2.79,3.84,70,372,18.82,90,414,78.26,8,15,20.2,18.1,2310,9.9,2627,0.88,3
25,San Jose Sharks,82,20,55,7,47,0.287,252,357,-1.25,0.03,3.07,4.35,62,385,16.1,93,397,76.57,15,20,17.8,16.8,2143,11.8,2716,0.869,0
26,Ottawa Senators,82,18,59,5,41,0.25,191,291,-1.12,0.1,2.33,3.55,53,430,12.33,83,375,77.87,6,14,18.7,21.3,2204,8.7,2504,0.884,3
